"character","dialogues"
"ORACLE","What's really going to bake your noodle later on is, would you still have broken it if I hadn't said anything."
"ORACLE","You're cuter than I thought.  I see why she likes you."
"NEO","Who?"
"ORACLE","Not too bright though"
"ORACLE","You know why Morpheus brought you to see me?"
"ORACLE","So?  What do you think?  You think you're the One?"
"NEO","Honestly?  I don't know."
"ORACLE","You know what that means?  It's latin.  Means, 'Know Thyself'.  I'm gonna let you in on a little secret. Being the One is just like being in love.  Nobody can tell you you're in love.  You just know it.  Through and through.  Balls to bones."
"ORACLE","Well, I better have a look at you."
"ORACLE","Open your mouth.  Say 'ahh'."
"ORACLE","Okay, now I'm supposed to say, 'Hmmm, that's interesting but...' Then you say"
"NEO","But what?"
"ORACLE","But you already know what I'm going to tell you."
"NEO","I'm not the One."
"ORACLE","Sorry, kid.  You got the gift but looks like you're waiting for something."
"NEO","What?"
"ORACLE","Your next life, maybe.  Who knows. That's how these things go"
"ORACLE","What's funny?"
"NEO","Morpheus.  He almost had me convinced."
"ORACLE","I know.  Poor Morpheus.  Without him we are lost.  We will never find the One."
"NEO","What do you mean, without him?"
"ORACLE","Are you sure you want to hear this?"
"ORACLE","Morpheus believes in you, Neo and no one, not you or even me can convince him otherwise.  He believes it so blindly that he's going to sacrifice his life to save yours."
"NEO","What?"
"ORACLE","You're going to have to make a final choice.  In one hand, you will have Morpheus' life.  In the other hand, you will have your own.  One of you is going to die.  Which one, will be up to you"
"ORACLE","I'm sorry, kiddo.  I really am.  You have a good soul and I hate giving good people bad news.  But don't worry, as soon as you walk outside that door, you'll start feeling better.  You'll remember that you don't believe any of this fate crap. You're in control of your own life, remember?"
"ORACLE","Here, take a cookie.  I promise by the time you're done eating it, you'll feel right as rain."
"MORPHEUS","There is a rule that no one can ask what the Oracle said to you.  What was said was said for you and you alone."
"MORPHEUS","I can see it in your eyes, that you are still confused.  That's all right, Neo.  Give it time, let it all sink in.  I know it can be difficult to see the path even when it's right under your feet."
"MORPHEUS","Let's go."
"TRINITY","Are you all right?"
"NEO","right as rain."
"SWITCH","Weird"
"APOC","What?"
"SWITCH","That's the third white van I've seen."
"APOC","Should Tank I.D. it?"
"SWITCH","No.  Here they come"
"MOUSE","Welcome to Movie-Phone"
"TANK ","They're on their way."
"TANK","What is that...?"
"NEO","Whoa.  Deja vu"
"TANK","Oh shit!  Oh shit!"
"TRINITY","What did you just say?"
"NEO","Nothing.  Just had a little deja vu."
"TRINITY","What happened?  What did you see?"
"NEO","A black cat went past us and then I saw another that looked just like it."
"TRINITY","How much like it?  Was it the same cat?"
"NEO","It might have been.  I'm not sure."
"NEO","What is it?"
"TRINITY","A deju vu is usually a glitch in the Matrix.  It happens when they change something."
"TANK","It's a trap!"
"MORPHEUS","Come on!"
"TANK ","They cut the hardline!  It's a trap! Get out!"
"MOUSE","Oh no"
"TANK","No, no, no."
"CYPHER","That's what they changed.  We're trapped.  There's no way out."
"MORPHEUS","Give me your phone."
"TRINITY","They'll be able to track it."
"MORPHEUS","We have no choice"
"MORPHEUS ","Tank, find a structural drawing of this building and find it fast."
"TANK","Got it."
"MORPHEUS ","I need the main wet-wall."
"TANK ","Now left and that's it in front of you"
"MORPHEUS","Good"
"AGENT SMITH","Eighth floor.  They're on the eighth floor"
"AGENT BROWN","Where are they?"
"COP","They're in the walls!"
"NEO","Fuck"
"TRINITY","It's an Agent!"
"TRINITY","Morpheus!"
"MORPHEUS","Trinity, you must get Neo out.  Do you understand?  He is all that matters."
"NEO","No.  No!  Morpheus!  Don't!"
"MORPHEUS","Trinity!  Go!  Get to the basement. Find the catch basin!"
"AGENT SMITH","The sewers.  Of course."
"MORPHEUS","Hurry!"
"AGENT SMITH","They won't make it"
"TRINITY","Go!"
"NEO","We can't leave him!"
"TRINITY","We have to!"
"TRINITY","Come on!"
"AGENT SMITH","The great Morpheus.  We meet at last."
"MORPHEUS","Smith.  I am Agent Smith."
"MORPHEUS","You all look the same to me."
"AGENT SMITH","Take him."
"TANK","No!"
"AGENT JONES","We have them now."
"TRINITY","We need a phone."
"TANK","We gotta find the others.  They're still alive."
"TANK","Operator"
"CYPHER ","I need an exit!  Fast!"
"TANK","Cypher?"
"CYPHER","There was an accident.  A fucking car accident.  All of a sudden. Boom.  Jesus, someone's going to make a believer out of me"
"TANK ","I got you."
"CYPHER","Just get me outta here"
"TANK ","Nearest exit is Franklin and Erie. An old appliance store."
"TANK","Operator"
"TRINITY ","Tank, it's me"
"NEO","Is Morpheus alive?"
"TRINITY","Is Morpheus still alive, Tank?"
"TANK ","Yes.  They're moving him.  I don't know where yet."
"TRINITY","He's alive"
"TRINITY","We need an exit!"
"TANK ","You're not far from Cypher."
"TRINITY","Cypher, I thought "
"TANK ","So did we.  I sent him to Franklin and Erie."
"TRINITY","Got it."
"TANK","Got him."
"SWITCH","God, I love that sound."
"CYPHER","Shit"
"DOZER","No!"
"TRINITY","You first, Neo."
"TRINITY","What happened?"
"NEO","I don't know.  It just went dead."
"CYPHER ","Hello, Trinity."
"TRINITY","Cypher?  Where's Tank?"
"CYPHER ","He had an accident."
"TRINITY","An accident?!"
"CYPHER","You know, for a long time, I thought I was in love with you, Trinity.  I used to dream about you..."
"CYPHER","You are a beautiful woman. Too bad things had to work out like this."
"TRINITY","You killed them."
"APOC","What"
"SWITCH","Oh, God."
"CYPHER","I'm tired, Trinity.  I'm tired ofthis war, I'm tired of fighting.I'm tired of this ship, of beingcold, of eating the same fuckinggoop every day.  But most of all,I'm tired of this jagoff and all ofhis bullshit."
"TRINITY","My God.  Morpheus.  You gave them Morpheus."
"CYPHER","Yes.  You see, the truth is, Trinity, that we humans have a place in the future.  But it's not here. It's in the Matrix."
"TRINITY","The Matrix isn't real!"
"CYPHER","Oh, I disagree, Trinity.  I disagree.  I think the Matrix is more real than this world.  I mean, all I do is pull a plug here.  But there, you watch a man die."
"CYPHER","You tell me which is more real."
"TRINITY","But you're out, Cypher.  You can't go back."
"CYPHER","That's what you think.  They've promised to back me, Trinity. They're going to reinsert my body. I'll go back to sleep and when I wake up, I'll be fat and rich and I won't remember a goddamn thing. It's the American dream."
"CYPHER","Welcome to the real world, eh, baby?"
"TRINITY","Goddamn you, Cypher!"
"CYPHER","Don't hate me, Trinity.  I'm just the messenger.  And right now I'm going to prove it to you."
"CYPHER","If Morpheus was right, then there's no way I can pull this plug, is there?"
"CYPHER","If he is the One, then in the next few seconds there has to be some kind of miracle to stop me.  Right? How can he be the One if he's dead?"
"CYPHER","You never did answer me, Trinity, when I asked you before.  Did you buy Morpheus' bullshit?  Come on. You can tell me, did you?  All I want is a little yes or no.  Look into his eyes, Trinity, those pretty blue eyes and tell me the truth. Yes or no."
"TRINITY","...yes"
"CYPHER","No!"
"CYPHER","I don't believe it!"
"TANK","Believe it or not, you piece of shit, you're still going to burn."
"NEO","Go.  You first this time."
"TRINITY","Tank, you're hurt."
"TRINITY","Dozer?"
"TRINITY","I'm sorry, Tank."
"AGENT SMITH","Have you ever stood and stared at it, Morpheus?  Marveled at its beauty.  Its genius.  Billions of people just living out their lives... oblivious."
"AGENT SMITH","Did you know that the first Matrix was designed to be a perfect human world?  Where none suffered, where everyone would be happy.  It was a disaster.  No one would accept the program.  Entire crops were lost."
"AGENT SMITH","Some believed we lacked the programming language to describe your perfect world.  But I believe that, as a species, human beings define their reality through suffering and misery"
"AGENT SMITH","The perfect world was a dream that your primitive cerebrum kept trying to wake up from.  Which is why the Matrix was redesigned to this:  the peak of your civilization."
"AGENT SMITH","I say 'your civilization' because as soon as we started thinking for you, it really became our civilization, which is, of course, what this is all about."
"AGENT SMITH","Evolution, Morpheus.  Evolution."
"AGENT SMITH","Like the dinosaur.  Look out that window.  You had your time."
"AGENT SMITH","The future of your world, Morpheus. The future is our time."
"AGENT SMITH","Double the dosage."
"AGENT JONES","We could have a problem."
"NEO","They're hacking his mind."
"NEO","How?"
"TANK","They inject virus-like serums to attack the neuro-systems.  It's like cracking a computer.  All it takes is time."
"NEO","How much time?"
"TANK","Depends on the mind.  But eventually, it will crack and his alpha pattern will change from this to this."
"TANK","When it does, Morpheus will tell them anything they want to know."
"NEO","What do they want?"
"TANK","Every leader of every ship is given the codes to Zion's mainframe computer which can be accessed only through the Matrix.  They are used only in emergencies.  If an agent had those codes and got inside.Zion's mainframe they could disable the entire defense system.  It would be the end of everything."
"TANK","We can't let that happen, Trinity. Zion has to be protected."
"AGENT SMITH","Never send a human to do a machine's job."
"AGENT BROWN","If, indeed, Reagan had failed, they will sever the connection as soon as possible, unless --"
"AGENT JONES","They are dead.  In either case --"
"AGENT SMITH","We have no choice but to continue as planned.  Deploy the sentinels. Immediately."
"TRINITY","Goddamnit!  Goddamnit!"
"NEO","There has to be something that we can do."
"TANK","There is.  We have to pull the plug."
"TRINITY","You're going to kill him?  Kill Morpheus?!"
"TANK","Trinity, we don't have any other choice."
"TANK","Morpheus, you were more than our leader.  You were... our father.  We will miss you, always."
"NEO","Stop!"
"NEO","Goddamnit!  I don't believe this is happening!"
"TANK","Neo, this has to be done!"
"NEO","Does it?  I don't know.  This can't be just coincidence.  It can't be! Can it?"
"TANK","What are you talking about?"
"NEO","The Oracle.  She told me this would happen.  She told me..."
"NEO","That I would have to make a choice..."
"TRINITY","What choice?"
"TRINITY","What are you doing?"
"NEO","I'm going in after him."
"TRINITY","You can't!"
"NEO","I have to."
"TRINITY","Morpheus sacrificed himself so we could get you out!  There's no way you're going back in!"
"NEO","Morpheus did what he did because he believed that I'm something I'm not."
"TRINITY","What?"
"NEO","I'm not the One, Trinity.  The Oracle hit me with that too."
"TRINITY","No, you... have to be."
"NEO","I'm sorry, I'm not.  I'm just another guy.  Morpheus is the one that matters."
"TRINITY","No, Neo.  That's not true.  It can't be true."
"NEO","Why?"
"TRINITY","Because..."
"TANK","Neo, this is loco.  They've got Morpheus in a military-controlled building.  Even if you somehow got inside, those are agents holding him.  Three of them!  I want Morpheus back, too, but what you are talking about is suicide."
"NEO","I know that's what it looks like, but it's not.  I can't logically explain to you why it's not. Morpheus believed something and he was ready to give his life for what he believed.  I understand that now. That's why I have to go."
"TANK","Why?"
"NEO","Because I believe in something."
"TRINITY","What?"
"NEO","I believe I can bring him back."
"NEO","What are you doing?"
"TRINITY","I'm coming with you."
"NEO","No, you're not."
"TRINITY","No?  Let me tell you what I believe. I believe Morpheus means more to me than he does to you.  I believe that if you are serious about saving him then you are going to need my help and since I am the ranking officer on this ship, if you don't like it then I believe that you can go to hell, because you aren't going anywhere else."
"TRINITY","Tank, load us up."
"AGENT SMITH","I'd like to share a revelation that I've had during my time here.  It came to me when I tried to classify your species.  I've realized that you are not actually mammals."
"AGENT SMITH","Every mammal on this planet instinctively develops a natural equilibrium with the surrounding environment.  But you humans do not. You move to an area and you multiply and multiply until every natural resource is consumed and the only way you can survive is to spread to another area."
"AGENT SMITH","There is another organism on this planet that follows the same pattern.  Do you know what is?  A virus."
"AGENT SMITH","Human beings are a disease, a cancer of this planet.  You are a plague. And we are... the cure."
"TANK","Okay.  Store's open.  What do you need?  Besides a miracle..."
"TRINITY","No one has ever done anything like this."
"NEO","Yeah?"
"NEO","That's why it's going to work."
"AGENT SMITH","Why isn't the serum working?"
"AGENT BROWN","Perhaps we are asking the wrong questions."
"AGENT SMITH","Leave me with him."
"AGENT SMITH","Now!"
"AGENT SMITH","Can you hear me, Morpheus?  I'm going to be honest with you."
"AGENT SMITH","I hate this place.  This zoo.  This prison.  This reality, whatever you want to call it, I can't stand it any longer.  It's the smell, if there is such a thing.  I feel saturated by it.  I can taste your stink and every time I do, I fear that I've somehow been infected by it."
"AGENT SMITH","Repulsive, isn't it?"
"AGENT SMITH","I must get out of here, I must get free.  In this mind is the key.  My key."
"AGENT SMITH","Once Zion is destroyed, there is no need for me to be here.  Do you understand?  I need the codes.  I have to get inside Zion.  You have to tell me how."
"AGENT SMITH","You are going to tell me or you are going to die."
"TANK","Hold on, Morpheus.  They're coming for you.  They're coming."
"GUARD","Would you please remove any metallic items you are carrying:  keys, loose change "
"GUARD","Holy shit "
"AGENT BROWN","What were you doing?"
"AGENT JONES","You don't know."
"AGENT SMITH","Know what?"
"AGENT JONES","I think they're trying to save him."
"NEO","There is no spoon."
"AGENT JONES","Lower level "
"AGENT BROWN","They are actually attacking."
"AGENT SMITH","Find them and destroy them!"
"PILOT","I repeat, we are under attack!"
"NEO","Trinity!"
"NEO","... help."
"AGENT JONES","Only human..."
"TRINITY","Dodge this, mutherfucker!"
"TRINITY","Neo, how did you do that?"
"NEO","Do what?"
"TRINITY","You moved like they moved.  I've never seen anyone move that fast."
"NEO","It wasn't fast enough."
"TRINITY","Are you all right?"
"NEO","I'm fine.  Come on, we have to keep moving."
"NEO","Can you fly that thing."
"TRINITY","Not yet."
"TANK","Operator."
"TRINITY","Let's go."
"SERGEANT","Sir!  Sir!  There was gunfire -- we've lost communication with the roof!"
"AGENT JONES","Remain at your posts."
"SERGEANT","But, sir -- the fire -- we should evacuate!"
"AGENT JONES","You will do as you are ordered!"
"AGENT SMITH","No."
"NEO","Get up, Morpheus!  Get up!"
"AGENT SMITH","Nooo!"
"NEO","He won't make it."
"NEO","Gotcha!"
"TANK","He is the One.  He's gotta be... but why?  He's gotta be!"
"AGENT SMITH","Find them!  Track them!"
"TRINITY","Morpheus!"
"MORPHEUS","Do you believe it now, Trinity?"
"NEO","Morpheus, the Oracle... she told me "
"MORPHEUS","She told you exactly what you needed to hear.  That's all.  Sooner or later, Neo, you're going to realize just like I did the difference between knowing the path and walking the path."
"TANK","Goddamn!  It's good to hear your voice, sir!"
"TANK","Got one ready, sir.  Subway.  State and Balbo."
"AGENT SMITH","Damnit!"
"AGENT BROWN","The trace was completed."
"AGENT JONES","We have their position."
"AGENT BROWN","The extermination unit is in place."
"AGENT JONES","Order the strike."
"AGENT SMITH","They're not out yet."
"NEO","Let's go!  You first, Morpheus."
"TRINITY","Neo, I have to tell you something. I don't know what it means or even if it matters but I feel I have to say it."
"TRINITY","I've never told anyone this before. I think I've been afraid to."
"TRINITY","When I went to the Oracle, she told me... she told me that I would meet a man.  And that I would fall in love..."
"NEO","Promise me you'll tell me the rest?"
"NEO","No!"
"TRINITY","Neo!"
"TANK","What the hell just happened?"
"TRINITY","An Agent!  You have to send me back!"
"TANK","I can't!"
"AGENT SMITH","Mr. Anderson."
"TRINITY","Run, Neo.  Run."
"TRINITY","What is he doing?"
"MORPHEUS","He's beginning to believe."
"AGENT SMITH","You're empty."
"NEO","So are you."
"AGENT SMITH","I'm going to enjoy watching you die, Mr. Anderson."
"TRINITY","Jesus, he's killing him!"
"AGENT SMITH","Do you hear that, Mr. Anderson?"
"AGENT SMITH","That is the sound of inevitability."
"AGENT SMITH","It is the sound of your death."
"AGENT SMITH","Good-bye, Mr. Anderson."
"NEO","My name is Neo."
"TRINITY","What just happened?"
"TANK","I don't know.  I lost him."
"MORPHEUS","He's on the run --"
"TANK","Oh shit!"
"TRINITY","Oh no."
"TRINITY","How long?"
"MORPHEUS","Five minutes.  Maybe six."
"MORPHEUS","Tank, charge the E.M.P."
"TRINITY","You can't use that until Neo is out!"
"MORPHEUS","I know, Trinity.  Don't worry.  He's going to make it."
"MAN","What the shit -- My phone!"
"TANK","Operator."
"NEO","Hurry, Tank!  I got some serious pursuit!"
"TRINITY","Neo, you better get your ass back here!"
"NEO","I'm trying, Trinity.  I'm trying."
"TANK","I got a patch on an old exit. Wabash and Lake.  A hotel.  Room 303."
"NEO","Which way?  Which way?"
"TANK","No!  Not down there!"
"NEO","Uh, help!  Need a little help!"
"TANK","That door on your left."
"NEO","It's locked."
"TANK","Shit!  The door on your left."
"TANK","No!  Other left!"
"TANK","Down!  Down!"
"TANK","That's it!  You're almost there! That fire escape at the end of the alley!"
"TANK","I'm going to make the call."
"MORPHEUS","Do it!"
"TRINITY","No."
"MORPHEUS","Here they come."
"MORPHEUS","He's going to make it."
"TANK","They've burned through the outer shields."
"TRINITY","Hurry, Neo."
"MORPHEUS","No, it can't be.  It can't be."
"AGENT SMITH","Check him."
"TRINITY","Neo..."
"AGENT BROWN","He's gone."
"AGENT SMITH","Good-bye, Mr. Anderson."
"TRINITY","Neo, please, listen to me.  I promised to tell you the rest.  The Oracle, she told me that I'd fall in love and that man, the man I loved would be the One.  You see?  You can't be dead, Neo, you can't be because I love you.  You hear me?  I love you!"
"TRINITY","Now get up!"
"NEO","No!"
"TANK","How...?!"
"MORPHEUS","He is the One.  He is the One!"
"TRINITY","Neo!"
"TRINITY","Now!"
"TRINITY","Neo?"
